StateAbb,CCode,StateNme,latitude,longitude
USA,2,United States of America,37.090240,-95.712891
CAN,20,Canada,56.130366,-106.346771
BHM,31,Bahamas,25.034280,-77.396280
CUB,40,Cuba,21.521757,-77.781167
HAI,41,Haiti,18.971187,-72.285215
DOM,42,Dominican Republic,18.735693,-70.162651
JAM,51,Jamaica,18.109581,-77.297508
TRI,52,Trinidad and Tobago,10.691803,-61.222503
BAR,53,Barbados,13.193887,-59.543198
DMA,54,Dominica,15.414999,-61.370976
GRN,55,Grenada,12.262776,-61.604171
SLU,56,St. Lucia,13.909444,-60.978893
SVG,57,St. Vincent and the Grenadines,12.984305,-61.287228
AAB,58,Antigua & Barbuda,17.060816,-61.796428
SKN,60,St. Kitts and Nevis,17.357822,-62.782998
MEX,70,Mexico,23.634501,-102.552784
BLZ,80,Belize,17.189877,-88.497650
GUA,90,Guatemala,15.783471,-90.230759
HON,91,Honduras,15.199999,-86.241905
SAL,92,El Salvador,13.794185,-88.896530
NIC,93,Nicaragua,12.865416,-85.207229
COS,94,Costa Rica,9.748917,-83.753428
PAN,95,Panama,8.537981,-80.782127
COL,100,Colombia,4.570868,-74.297333
VEN,101,Venezuela,6.423750,-66.589730
GUY,110,Guyana,4.860416,-58.930180
SUR,115,Suriname,77.553604,23.670272
ECU,130,Ecuador,-1.831239,-78.183406
PER,135,Peru,-9.189967,-75.015152
BRA,140,Brazil,-14.235004,-51.925280
BOL,145,Bolivia,-16.290154,-63.588653
PAR,150,Paraguay,-23.442503,-58.443832
CHL,155,Chile,-35.675147,-71.542969
ARG,160,Argentina,-38.416097,-63.616672
URU,165,Uruguay,-32.522779,-55.765835
UKG,200,United Kingdom,55.378051,-3.435973
IRE,205,Ireland,53.412910,-8.243890
NTH,210,Netherlands,52.132633,5.291266
NTH,210,Netherlands,12.226079,-69.060087
BEL,211,Belgium,50.503887,4.469936
LUX,212,Luxembourg,49.815273,6.129583
FRN,220,France,46.227638,2.213749
MNC,221,Monaco,43.750298,7.412841
LIE,223,Liechtenstein,47.166000,9.555373
SWZ,225,Switzerland,46.818188,8.227512
SPN,230,Spain,40.463667,-3.749220
AND,232,Andorra,42.546245,1.601554
POR,235,Portugal,39.399872,-8.224454
HAN,240,Hanover,52.375900,9.732000
BAV,245,Bavaria,48.131900,11.570900
GMY,255,Germany,51.165691,10.451526
GFR,260,German Federal Republic,51.200000,10.500000
GDR,265,German Democratic Republic,51.100000,10.400000
BAD,267,Baden,47.472900,8.308100
SAX,269,Saxony,51.104500,13.201700
WRT,271,Wuerttemburg,48.661600,9.350100
HSE,273,Hesse Electoral,51.165900,10.451900
HSG,275,Hesse Grand Ducal,51.165800,10.451800
MEC,280,Mecklenburg Schwerin,53.635300,11.400300
POL,290,Poland,51.919438,19.145136
AUH,300,Austria-Hungary,47.200000,14.200000
AUS,305,Austria,47.516231,14.550072
HUN,310,Hungary,47.162494,19.503304
CZE,315,Czechoslovakia,49.817500,15.473000
CZR,316,Czech Republic,49.817492,15.472962
SLO,317,Slovakia,48.669026,19.699024
ITA,325,Italy,41.871940,12.567380
PAP,327,Papal States,41.902916,12.453389
SIC,329,Two Sicilies,37.300000,14.000000
SNM,331,San Marino,43.942360,12.457777
MOD,332,Modena,44.647100,10.925200
PMA,335,Parma,44.801500,10.328000
TUS,337,Tuscany,43.567100,10.980700
MLT,338,Malta,35.937496,14.375416
ALB,339,Albania,41.153332,20.168331
MNG,341,Montenegro,42.708678,19.374390
MAC,343,Macedonia,41.608635,21.745275
CRO,344,Croatia,45.100000,15.200000
YUG,345,Yugoslavia,44.490000,20.270000
BOS,346,Bosnia and Herzegovina,43.915886,17.679076
KOS,347,Kosovo,42.602636,20.902977
SLV,349,Slovenia,46.151241,14.995463
GRC,350,Greece,39.074208,21.824312
CYP,352,Cyprus,35.126413,33.429859
BUL,355,Bulgaria,42.733883,25.485830
MLD,359,Moldova,47.411631,28.369885
ROM,360,Romania,45.943161,24.966760
RUS,365,Russia,61.524010,105.318756
EST,366,Estonia,58.595272,25.013607
LAT,367,Latvia,56.879635,24.603189
LIT,368,Lithuania,55.169438,23.881275
UKR,369,Ukraine,48.379433,31.165580
BLR,370,Belarus,53.709807,27.953389
ARM,371,Armenia,40.069099,45.038189
GRG,372,Georgia,42.315407,43.356892
AZE,373,Azerbaijan,40.143105,47.576927
FIN,375,Finland,61.924110,25.748151
SWD,380,Sweden,60.128161,18.643501
NOR,385,Norway,60.472024,8.468946
DEN,390,Denmark,56.263920,9.501785
ICE,395,Iceland,64.963051,-19.020835
CAP,402,Cape Verde,16.002082,-24.013197
STP,403,Sao Tome and Principe,0.186360,6.613081
GNB,404,Guinea-Bissau,11.803749,-15.180413
EQG,411,Equatorial Guinea,1.650801,10.267895
GAM,420,Gambia,13.443182,-15.310139
MLI,432,Mali,17.570692,-3.996166
SEN,433,Senegal,14.497401,-14.452362
BEN,434,Benin,9.307690,2.315834
MAA,435,Mauritania,21.007890,-10.940835
NIR,436,Niger,17.607789,8.081666
CDI,437,Ivory Coast,7.540000,5.547100
GUI,438,Guinea,9.945587,-9.696645
BFO,439,Burkina Faso,12.238333,-1.561593
LBR,450,Liberia,6.428055,-9.429499
SIE,451,Sierra Leone,8.460555,-11.779889
GHA,452,Ghana,7.946527,-1.023194
TOG,461,Togo,8.619543,0.824782
CAO,471,Cameroon,7.369722,12.354722
NIG,475,Nigeria,9.081999,8.675277
GAB,481,Gabon,-0.803689,11.609444
CEN,482,Central African Republic,6.611111,20.939444
CHA,483,Chad,15.454166,18.732207
CON,484,Congo,-0.228021,15.827659
DRC,490,Democratic Republic of the Congo,-4.038333,21.758664
UGA,500,Uganda,1.373333,32.290275
KEN,501,Kenya,-0.023559,37.906193
TAZ,510,Tanzania,-6.369028,34.888822
ZAN,511,Zanzibar,-6.070000,39.180000
BUI,516,Burundi,-3.373056,29.918886
RWA,517,Rwanda,-1.940278,29.873888
SOM,520,Somalia,5.152149,46.199616
DJI,522,Djibouti,11.825138,42.590275
ETH,530,Ethiopia,9.145000,40.489673
ERI,531,Eritrea,15.179384,39.782334
ANG,540,Angola,-11.202692,17.873887
MZM,541,Mozambique,-18.665695,35.529562
ZAM,551,Zambia,-13.133897,27.849332
ZIM,552,Zimbabwe,-19.015438,29.154857
MAW,553,Malawi,-13.254308,34.301525
SAF,560,South Africa,-30.559482,22.937506
NAM,565,Namibia,-22.957640,18.490410
LES,570,Lesotho,-29.609988,28.233608
BOT,571,Botswana,-22.328474,24.684866
SWA,572,Swaziland,-26.522503,31.465866
